split,arm,n,accepted,correct_edges,wrong_edges,precision,recall,accuracy,macro_f1,errors,abstentions,required_calls,input_tokens
development,single,73,36,32,4,0.8888888888888888,0.8888888888888888,0.9178082191780822,0.8986486486486487,0,0,73,264609
development,repeat_vote,73,36,32,4,0.8888888888888888,0.8888888888888888,0.9178082191780822,0.8986486486486487,0,0,219,793827
development,blind_vote,73,37,32,5,0.8648648648648649,0.8888888888888888,0.8904109589041096,0.8777777777777778,1,0,219,394809
development,targeted,73,37,30,7,0.8108108108108109,0.8333333333333334,0.8082191780821918,0.8286554136030161,6,0,219,484218
development,structured,73,36,32,4,0.8888888888888888,0.8888888888888888,0.9178082191780822,0.8986486486486487,0,0,73,274233
development,contrastive,73,34,31,3,0.9117647058823529,0.8611111111111112,0.9178082191780822,0.9035168865735105,0,0,73,95468
development,selective,73,38,31,7,0.8157894736842105,0.8611111111111112,0.8356164383561644,0.8421945701357466,4,0,123,343985
test,single,263,150,132,18,0.88,0.8627450980392157,0.8555133079847909,0.8496809706112032,1,0,263,941809
test,repeat_vote,263,149,131,18,0.8791946308724832,0.8562091503267973,0.8517110266159695,0.8479567077697919,2,0,789,2825427
test,blind_vote,263,156,136,20,0.8717948717948718,0.8888888888888888,0.8631178707224335,0.850331801346948,3,0,789,1387869
test,targeted,263,145,126,19,0.8689655172413793,0.8235294117647058,0.8060836501901141,0.836303109129196,21,0,789,1709341
test,structured,263,151,132,19,0.8741721854304636,0.8627450980392157,0.8555133079847909,0.8510064807425665,0,0,263,973369
test,contrastive,263,146,129,17,0.8835616438356164,0.8431372549019608,0.8479087452471483,0.8426307461528874,0,0,263,332438
test,selective,263,153,133,20,0.869281045751634,0.869281045751634,0.844106463878327,0.8486109035034003,8,0,401,1139381
