policy,correct_edges,wrong_edges,precision,recall,macro_f1,errors,abstentions,required_calls,input_tokens,contaminated_groups
compact_confidence,132,18,0.88,0.8627450980392157,0.8514181337833439,0,0,340,608117,15
compact_disagreement,133,18,0.8807947019867549,0.869281045751634,0.8543922710589378,0,0,544,617985,15
contrastive,129,17,0.8835616438356164,0.8431372549019608,0.8426307461528874,0,0,263,332438,15
group_gate,102,11,0.9026548672566371,0.6666666666666666,0.7931704314133254,0,45,770,1680906,9
invalid_only,121,17,0.8768115942028986,0.7908496732026143,0.8311526932216587,13,0,366,1091084,14
qualifier_veto,121,17,0.8768115942028986,0.7908496732026143,0.8311526932216587,13,0,366,1091084,14
safe_targeted,137,21,0.8670886075949367,0.8954248366013072,0.856263116728233,0,0,770,1680906,18
single,132,18,0.88,0.8627450980392157,0.8496809706112032,1,0,263,941809,15
targeted,126,19,0.8689655172413793,0.8235294117647058,0.836303109129196,21,0,789,1709341,17
value_route,132,18,0.88,0.8627450980392157,0.8496809706112032,1,0,263,941809,15
