accepted_budget,policy,correct_edges,wrong_edges,represented_groups,contaminated_groups,precision,recall,input_tokens
100,balanced,89,11,74,11,0.89,0.5816993464052288,941809
100,diverse,85,15,98,15,0.85,0.5555555555555556,941809
100,raw,92,8,69,6,0.92,0.6013071895424836,941809
100,unweighted,93,7,74,7,0.93,0.6078431372549019,941809
125,balanced,111,14,84,12,0.888,0.7254901960784313,941809
125,diverse,108,17,98,15,0.864,0.7058823529411765,941809
125,raw,114,11,83,9,0.912,0.7450980392156863,941809
125,unweighted,111,14,84,12,0.888,0.7254901960784313,941809
145,balanced,130,15,95,13,0.896551724137931,0.8496732026143791,941809
145,diverse,127,18,98,15,0.8758620689655172,0.8300653594771242,941809
145,raw,128,17,95,15,0.8827586206896552,0.8366013071895425,941809
145,unweighted,130,15,95,13,0.896551724137931,0.8496732026143791,941809
